dep;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
45;2021-05-12;174395;77760;682890.0;25.5;11.4
46;2021-05-12;65788;33340;173166.0;38.0;19.3
47;2021-05-12;106623;50501;330336.0;32.3;15.3
48;2021-05-12;22538;13565;76286.0;29.5;17.8
49;2021-05-12;255763;110835;815881.0;31.3;13.6
50;2021-05-12;166451;86773;490669.0;33.9;17.7
51;2021-05-12;161563;69078;563823.0;28.7;12.3
52;2021-05-12;57867;25118;169250.0;34.2;14.8
53;2021-05-12;87313;45931;305365.0;28.6;15.0
54;2021-05-12;216004;95749;730398.0;29.6;13.1
55;2021-05-12;56982;27500;181641.0;31.4;15.1
56;2021-05-12;258824;112652;755566.0;34.3;14.9
57;2021-05-12;314380;171484;1035866.0;30.3;16.6
58;2021-05-12;71524;39244;199596.0;35.8;19.7
59;2021-05-12;722534;332852;2588988.0;27.9;12.9
60;2021-05-12;206509;105765;825077.0;25.0;12.8
61;2021-05-12;97228;54193;276903.0;35.1;19.6
62;2021-05-12;438598;213049;1452778.0;30.2;14.7
63;2021-05-12;194197;95747;660240.0;29.4;14.5
64;2021-05-12;239841;126205;683169.0;35.1;18.5
65;2021-05-12;88831;44775;226839.0;39.2;19.7
66;2021-05-12;163763;74162;479000.0;34.2;15.5
67;2021-05-12;309869;136325;1132607.0;27.4;12.0
68;2021-05-12;205792;105881;763204.0;27.0;13.9
69;2021-05-12;482290;238099;1876051.0;25.7;12.7
70;2021-05-12;69513;33734;233194.0;29.8;14.5
71;2021-05-12;179755;91308;547824.0;32.8;16.7
72;2021-05-12;158683;61615;560227.0;28.3;11.0
73;2021-05-12;124780;60532;432548.0;28.8;14.0
74;2021-05-12;195309;95510;828405.0;23.6;11.5
75;2021-05-12;678458;308472;2148271.0;31.6;14.4
76;2021-05-12;372541;182484;1243788.0;30.0;14.7
77;2021-05-12;291206;126844;1423607.0;20.5;8.9
78;2021-05-12;348213;157866;1448625.0;24.0;10.9
79;2021-05-12;113453;59941;372627.0;30.4;16.1
80;2021-05-12;165438;74764;569769.0;29.0;13.1
81;2021-05-12;128214;68622;387898.0;33.1;17.7
82;2021-05-12;74900;37700;262618.0;28.5;14.4
83;2021-05-12;322934;174361;1073836.0;30.1;16.2
84;2021-05-12;155634;74688;560997.0;27.7;13.3
85;2021-05-12;223280;101014;683187.0;32.7;14.8
86;2021-05-12;149055;62597;437398.0;34.1;14.3
87;2021-05-12;129217;55617;370774.0;34.9;15.0
88;2021-05-12;122839;60093;359520.0;34.2;16.7
89;2021-05-12;100231;51591;332096.0;30.2;15.5
90;2021-05-12;42072;22508;140145.0;30.0;16.1
91;2021-05-12;291324;135746;1319401.0;22.1;10.3
92;2021-05-12;398167;177862;1613762.0;24.7;11.0
93;2021-05-12;346594;159043;1670149.0;20.8;9.5
94;2021-05-12;334163;159918;1406041.0;23.8;11.4
95;2021-05-12;297586;138125;1248354.0;23.8;11.1
971;2021-05-12;24091;10774;376879.0;6.4;2.9
972;2021-05-12;42065;22194;358749.0;11.7;6.2
973;2021-05-12;29260;14315;290691.0;10.1;4.9
974;2021-05-12;106328;50244;859959.0;12.4;5.8
976;2021-05-12;17698;10201;279471.0;6.3;3.7
977;2021-05-12;6657;1229;9961.0;66.8;12.3
978;2021-05-12;3487;2264;35334.0;9.9;6.4
