dep;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
01;2021-05-12;155952;75771;656955.0;23.7;11.5
02;2021-05-12;139552;65973;526050.0;26.5;12.5
03;2021-05-12;124335;60476;331315.0;37.5;18.3
04;2021-05-12;48842;27462;165197.0;29.6;16.6
05;2021-05-12;44142;24245;141756.0;31.1;17.1
06;2021-05-12;368989;197590;1079396.0;34.2;18.3
07;2021-05-12;103491;51036;326875.0;31.7;15.6
08;2021-05-12;87248;39756;265531.0;32.9;15.0
09;2021-05-12;52681;29902;152398.0;34.6;19.6
10;2021-05-12;98708;48328;309907.0;31.9;15.6
11;2021-05-12;111970;52826;372705.0;30.0;14.2
12;2021-05-12;99503;54893;278360.0;35.7;19.7
13;2021-05-12;578183;316231;2034469.0;28.4;15.5
14;2021-05-12;229483;102813;691453.0;33.2;14.9
15;2021-05-12;50955;26795;142811.0;35.7;18.8
16;2021-05-12;112908;52818;348180.0;32.4;15.2
17;2021-05-12;218659;113874;647080.0;33.8;17.6
18;2021-05-12;96863;49208;296404.0;32.7;16.6
19;2021-05-12;83251;40845;240336.0;34.6;17.0
21;2021-05-12;154528;77690;532886.0;29.0;14.6
22;2021-05-12;216206;111322;596186.0;36.3;18.7
23;2021-05-12;44813;22549;116270.0;38.5;19.4
24;2021-05-12;136905;70047;408393.0;33.5;17.2
25;2021-05-12;143936;68429;539449.0;26.7;12.7
26;2021-05-12;157601;75090;520560.0;30.3;14.4
27;2021-05-12;159100;72341;600687.0;26.5;12.0
28;2021-05-12;121605;56974;429425.0;28.3;13.3
29;2021-05-12;299629;125288;906554.0;33.1;13.8
2A;2021-05-12;63257;34892;162421.0;38.9;21.5
2B;2021-05-12;64568;37936;182258.0;35.4;20.8
30;2021-05-12;220766;111992;748468.0;29.5;15.0
31;2021-05-12;349832;162390;1400935.0;25.0;11.6
32;2021-05-12;69175;30878;190040.0;36.4;16.2
33;2021-05-12;477412;216419;1633440.0;29.2;13.2
34;2021-05-12;355022;163098;1176145.0;30.2;13.9
35;2021-05-12;302097;129828;1082073.0;27.9;12.0
36;2021-05-12;78867;36106;217139.0;36.3;16.6
37;2021-05-12;183363;74369;605380.0;30.3;12.3
38;2021-05-12;351406;157903;1264979.0;27.8;12.5
39;2021-05-12;78376;40613;257849.0;30.4;15.8
40;2021-05-12;136184;69310;411979.0;33.1;16.8
41;2021-05-12;104697;49800;327835.0;31.9;15.2
42;2021-05-12;233243;114375;764737.0;30.5;15.0
43;2021-05-12;68195;39579;226901.0;30.1;17.4
44;2021-05-12;381632;159418;1437137.0;26.6;11.1
