dep;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
01;2021-05-04;133256;57468;656955.0;20.3;8.7
02;2021-05-04;119771;54300;526050.0;22.8;10.3
03;2021-05-04;100995;47866;331315.0;30.5;14.4
04;2021-05-04;43006;23136;165197.0;26.0;14.0
05;2021-05-04;38871;19465;141756.0;27.4;13.7
06;2021-05-04;335761;164555;1079396.0;31.1;15.2
07;2021-05-04;89477;41565;326875.0;27.4;12.7
08;2021-05-04;74834;30845;265531.0;28.2;11.6
09;2021-05-04;46238;22715;152398.0;30.3;14.9
10;2021-05-04;86757;41756;309907.0;28.0;13.5
11;2021-05-04;99264;41937;372705.0;26.6;11.3
12;2021-05-04;90964;43681;278360.0;32.7;15.7
13;2021-05-04;514351;256994;2034469.0;25.3;12.6
14;2021-05-04;199436;80777;691453.0;28.8;11.7
15;2021-05-04;44990;21286;142811.0;31.5;14.9
16;2021-05-04;98896;40738;348180.0;28.4;11.7
17;2021-05-04;194919;90217;647080.0;30.1;13.9
18;2021-05-04;85799;36737;296404.0;28.9;12.4
19;2021-05-04;73369;34135;240336.0;30.5;14.2
21;2021-05-04;132638;65719;532886.0;24.9;12.3
22;2021-05-04;192156;94297;596186.0;32.2;15.8
23;2021-05-04;39797;17853;116270.0;34.2;15.4
24;2021-05-04;123481;52113;408393.0;30.2;12.8
25;2021-05-04;123309;56792;539449.0;22.9;10.5
26;2021-05-04;133885;62043;520560.0;25.7;11.9
27;2021-05-04;136059;60131;600687.0;22.7;10.0
28;2021-05-04;107154;43853;429425.0;25.0;10.2
29;2021-05-04;264772;99779;906554.0;29.2;11.0
2A;2021-05-04;57018;29421;162421.0;35.1;18.1
2B;2021-05-04;58062;30286;182258.0;31.9;16.6
30;2021-05-04;197106;92956;748468.0;26.3;12.4
31;2021-05-04;312572;118558;1400935.0;22.3;8.5
32;2021-05-04;59202;22931;190040.0;31.2;12.1
33;2021-05-04;423544;167311;1633440.0;25.9;10.2
34;2021-05-04;307909;130734;1176145.0;26.2;11.1
35;2021-05-04;269188;98507;1082073.0;24.9;9.1
36;2021-05-04;68856;29264;217139.0;31.7;13.5
