dep;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
37;2021-05-04;159637;57232;605380.0;26.4;9.5
38;2021-05-04;303619;122998;1264979.0;24.0;9.7
39;2021-05-04;67338;34034;257849.0;26.1;13.2
40;2021-05-04;123148;53831;411979.0;29.9;13.1
41;2021-05-04;92504;39320;327835.0;28.2;12.0
42;2021-05-04;203551;88689;764737.0;26.6;11.6
43;2021-05-04;60009;33942;226901.0;26.4;15.0
44;2021-05-04;334101;123354;1437137.0;23.2;8.6
45;2021-05-04;148737;60894;682890.0;21.8;8.9
46;2021-05-04;58591;26414;173166.0;33.8;15.3
47;2021-05-04;92659;39870;330336.0;28.0;12.1
48;2021-05-04;20400;10999;76286.0;26.7;14.4
49;2021-05-04;222850;85323;815881.0;27.3;10.5
50;2021-05-04;152119;69471;490669.0;31.0;14.2
51;2021-05-04;136036;56677;563823.0;24.1;10.1
52;2021-05-04;49471;18794;169250.0;29.2;11.1
53;2021-05-04;73696;39282;305365.0;24.1;12.9
54;2021-05-04;187259;79118;730398.0;25.6;10.8
55;2021-05-04;50464;19925;181641.0;27.8;11.0
56;2021-05-04;232053;84194;755566.0;30.7;11.1
57;2021-05-04;269210;149910;1035866.0;26.0;14.5
58;2021-05-04;64303;31456;199596.0;32.2;15.8
59;2021-05-04;619154;278030;2588988.0;23.9;10.7
60;2021-05-04;183830;91610;825077.0;22.3;11.1
61;2021-05-04;87366;42361;276903.0;31.6;15.3
62;2021-05-04;381961;181433;1452778.0;26.3;12.5
63;2021-05-04;165143;76575;660240.0;25.0;11.6
64;2021-05-04;214058;100175;683169.0;31.3;14.7
65;2021-05-04;79666;34541;226839.0;35.1;15.2
66;2021-05-04;144351;56297;479000.0;30.1;11.8
67;2021-05-04;268984;104461;1132607.0;23.7;9.2
68;2021-05-04;177247;85818;763204.0;23.2;11.2
69;2021-05-04;408979;194734;1876051.0;21.8;10.4
70;2021-05-04;59762;27307;233194.0;25.6;11.7
71;2021-05-04;156755;76695;547824.0;28.6;14.0
72;2021-05-04;131709;49824;560227.0;23.5;8.9
73;2021-05-04;108608;48436;432548.0;25.1;11.2
74;2021-05-04;170528;75958;828405.0;20.6;9.2
75;2021-05-04;580662;253835;2148271.0;27.0;11.8
76;2021-05-04;330736;148104;1243788.0;26.6;11.9
77;2021-05-04;236049;108511;1423607.0;16.6;7.6
78;2021-05-04;296547;127406;1448625.0;20.5;8.8
79;2021-05-04;101286;45885;372627.0;27.2;12.3
80;2021-05-04;142412;61552;569769.0;25.0;10.8
81;2021-05-04;115641;51459;387898.0;29.8;13.3
82;2021-05-04;68001;28514;262618.0;25.9;10.9
83;2021-05-04;291087;141180;1073836.0;27.1;13.1
84;2021-05-04;138174;58532;560997.0;24.6;10.4
85;2021-05-04;194048;78130;683187.0;28.4;11.4
86;2021-05-04;125580;51671;437398.0;28.7;11.8
87;2021-05-04;113148;44714;370774.0;30.5;12.1
88;2021-05-04;104638;50170;359520.0;29.1;14.0
89;2021-05-04;85107;43569;332096.0;25.6;13.1
90;2021-05-04;38355;19046;140145.0;27.4;13.6
91;2021-05-04;245741;114092;1319401.0;18.6;8.6
92;2021-05-04;320743;145778;1613762.0;19.9;9.0
93;2021-05-04;286368;128167;1670149.0;17.1;7.7
94;2021-05-04;281980;133894;1406041.0;20.1;9.5
95;2021-05-04;242639;112093;1248354.0;19.4;9.0
971;2021-05-04;19840;9259;376879.0;5.3;2.5
972;2021-05-04;38224;15821;358749.0;10.7;4.4
973;2021-05-04;25944;11112;290691.0;8.9;3.8
974;2021-05-04;85451;40306;859959.0;9.9;4.7
976;2021-05-04;15757;8808;279471.0;5.6;3.2
977;2021-05-04;5289;801;9961.0;53.1;8.0
978;2021-05-04;2717;1720;35334.0;7.7;4.9
